,Description,IncidentNum,Location,Agency,Date
133,ASSAULT,PD210403104963,2300 BLOCK NW 89TH ST,Miami-Dade Police,20210403230001
134,THEFT/LARCENY,PD210404105324,9200 BLOCK SW 83RD ST,Miami-Dade Police,20210403230001
135,ROBBERY BY SUDDEN SNATCH - NO FORCE,2104030020961,900 BLOCK S MIAMI AV,Miami Police,20210403224901
136,THEFT/LARCENY,PD210404105597,12000 BLOCK SW 117TH AVE,Miami-Dade Police,20210403223001
137,ASSAULT,PD210403104939,NW 67TH AVE & MAIN ST,Miami-Dade Police,20210403223001
138,CRIMINAL MISCHIEF / VANDALISM,2104030020959,700 BLOCK BRICKELL AV,Miami Police,20210403222101
139,THEFT/LARCENY,PD210403104972,3200 BLOCK NW 79TH ST,Miami-Dade Police,20210403220501
140,VEHICLE BREAK-IN/THEFT,PD210404105559,12000 BLOCK NW 27TH AVE,Miami-Dade Police,20210403220001
141,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,2104030020947,SW SOUTH RIVER DR / SW 2ND ST,Miami Police,20210403214001
142,THEFT - ALL OTHER,2104030020946,2800 BLOCK MCFARLANE RD,Miami Police,20210403213601
143,BURGLARY - RESIDENCE,2104030020949,3800 BLOCK PARK AV,Miami Police,20210403210201
144,THEFT/LARCENY,PD210404105735,1700 BLOCK NW 94TH ST,Miami-Dade Police,20210403210001
145,THEFT/LARCENY,PD210407109089,MIA-CC H-CAROUSEL 5-L1,Miami-Dade Police,20210403210001
146,BATTERY / SIMPLE,2104030020939,1100 BLOCK NW 50TH ST,Miami Police,20210403205101
147,ROBBERY,PD210403104825,2700 BLOCK NW 119TH ST,Miami-Dade Police,20210403204001
148,CRIMINAL MISCHIEF / VANDALISM,2104030020942,200 BLOCK NW 15TH ST,Miami Police,20210403203101
149,BURGLARY,PD210404105303,7200 BLOCK BIRD RD,Miami-Dade Police,20210403203001
150,VANDALISM,PD210404105411,3700 BLOCK S LAKE DR,Miami-Dade Police,20210403203001
151,THEFT - OF MOTOR VEHICLE PARTS,2104030020934,NW 12TH AV / NW 65TH ST,Miami Police,20210403202101
152,"ASSAULT / L.E.O. / FIREFIGHTER / EMT / NONSWORN OR LICENSED SECURITY OFC, ETC",2104030020932,600 BLOCK BISCAYNE BLVD,Miami Police,20210403201401
153,THEFT/LARCENY,PD210404105312,900 BLOCK NW 116TH ST,Miami-Dade Police,20210403200001
154,THEFT/LARCENY,PD210404105821,14900 BLOCK N MIAMI AVE,Miami-Dade Police,20210403200001
155,THEFT - FROM MOTOR VEHICLE,2104030020935,NE 1ST CT / NE 17TH ST,Miami Police,20210403195901
156,THEFT - FROM MOTOR VEHICLE,2104030020933,NE 1ST CT / NE 17TH ST,Miami Police,20210403193201
157,VANDALISM,PD210404105504,7700 BLOCK SW 34TH TER,Miami-Dade Police,20210403193001
158,AGGRAVATED ASSAULT,2104030020923,1900 BLOCK NW 3RD CT,Miami Police,20210403192001
159,AGGRAVATED ASSAULT,2104030020923,1900 BLOCK NW 3RD CT,Miami Police,20210403192001
160,THEFT/LARCENY,PD210403104748,1300 BLOCK NW 57TH AVE,Miami-Dade Police,20210403192001
161,RETAIL THEFT,2104030020922,2300 BLOCK BISCAYNE BLVD,Miami Police,20210403191801
162,THEFT - ALL OTHER,2104030020930,6600 BLOCK NW 2ND AV,Miami Police,20210403191201
163,THEFT/LARCENY,PD210403104728,2100 BLOCK NW 79TH ST,Miami-Dade Police,20210403191201
164,BATTERY/AGGRAVATED/LAW ENFORCEMENT OFFICER,2104030020924,NW 77TH ST / NW 7TH AV,Miami Police,20210403191101
165,GRAND THEFT,2104030020927,0 BLOCK SW 7TH ST,Miami Police,20210403190601
166,THEFT/LARCENY,PD210403104707,7300 BLOCK SW 88TH ST,Miami-Dade Police,20210403185501
167,BATTERY (SIMPLE) / PERSON 65 YEARS OF AGE OR OLDER,2104030020919,1000 BLOCK SW 3RD ST,Miami Police,20210403183501
168,BATTERY (SIMPLE) / PERSON 65 YEARS OF AGE OR OLDER,2104030020919,1000 BLOCK SW 3RD ST,Miami Police,20210403183501
169,THEFT/LARCENY,PD210403104731,3200 BLOCK NW 79TH ST,Miami-Dade Police,20210403183001
170,ROBBERY/SUDDEN SNATCHING-UNARMED (ALL OTHER ITEMS $300),2104030020911,200 BLOCK NW 65TH ST,Miami Police,20210403180401
171,BATTERY / SIMPLE,2104030020911,200 BLOCK NW 65TH ST,Miami Police,20210403180401
172,ARSON / ANY DWELLING OR ITS CONTENTS / OCCUPIED OR NOT,2104030020910,2400 BLOCK NW 18TH AV,Miami Police,20210403180101
173,ARSON / ANY DWELLING OR ITS CONTENTS / OCCUPIED OR NOT,2104030020910,2400 BLOCK NW 18TH AV,Miami Police,20210403180101
174,THEFT/LARCENY,PD210404105868,3000 BLOCK NW 32ND ST,Miami-Dade Police,20210403180001
175,VEHICLE BREAK-IN/THEFT,PD210404105491,8000 BLOCK SW 133RD CT,Miami-Dade Police,20210403180001
176,ASSAULT,PD210403104729,600 BLOCK NE 175TH ST,Miami-Dade Police,20210403180001
